Energy_KeV,Photons_per_s
1,6.117219766786442e-08
2,1.1789350637104326e-09
3,0.0
4,1.3192107352708652e-196
5,3.7684677321515646e-107
6,3.9870176110839636e-65
7,1.8525082307416287e-47
8,1.7920623579332045e-21
9,1.0114478577696741e-18
10,3.658772800538672e-52
11,1.765992961038439e-46
12,8.922594291929538e-40
13,5.326978763082513e-33
14,3.8715678808071784e-26
15,2.80274641200565e-19
16,2.4187769961155823e-17
17,2.071623378554048e-15
18,1.7616867418710028e-13
19,1.48731367934193e-11
20,1.245917823270038e-09
21,4.546543716114468e-09
22,1.6469850732200608e-08
23,5.9268799522128676e-08
24,2.118423791714557e-07
25,7.52336423069766e-07
26,2.656679095190975e-06
27,9.32789406085157e-06
28,3.257646420776865e-05
29,0.00011320120030858931
30,0.0003915734105910216
31,0.0005510457085363917
32,0.0007724513806309625
33,0.0010788718808580438
34,0.0015018938679923581
35,0.0020843676676151066
36,0.002884768330331593
37,0.003982312431467801
38,0.005484529561256812
39,0.007537578522994418
40,0.010338844459175489
41,0.011593788947031234
42,0.012979909423227598
43,0.01451133124126722
44,0.016201796819292555
45,0.01806818281695088
46,0.020126791285584707
47,0.02239738856997859
48,0.02490313844309132
49,0.027665391877437582
50,0.030713350163507357
51,0.031959879437779795
52,0.03323874562983983
53,0.03454959354050804
54,0.035895728866755544
55,0.037278557430220294
56,0.038698997282271316
57,0.04016127665773898
58,0.3517964280796928
59,0.04321185258477944
60,0.0448045586838693
61,0.04502365961222978
62,0.04523239838956737
63,0.04543417785080993
64,0.045628008623443746
65,0.04581529730111704
66,0.045997969371084926
67,0.3013162484985872
68,0.046348115826071026
69,0.0677749507747956
70,0.03044591779079914
71,0.03090522666566964
72,0.031370393917071845
73,0.03183994984383147
74,0.0323077183658856
75,0.03276906385250923
76,0.03322691257989312
77,0.0336783897146041
78,0.03412254649351403
79,0.03456050281716387
80,0.03499179031441879
81,0.03494216139160233
82,0.034881387697737146
83,0.0348101614242267
84,0.03472927073319422
85,0.034638791795066945
86,0.03453984530644423
87,0.034432596207885795
88,0.034317377258364215
89,0.03419530839088987
90,0.03406614322946332
91,0.03393237149340634
92,0.033791912674058976
93,0.03364598581483352
94,0.03349423689943898
95,0.03333727932910289
96,0.033175636485588696
97,0.03300912640168965
98,0.032838914544031574
99,0.03266407727661241
100,0.03248644480815323
101,0.03212967352663509
102,0.0317731541305555
103,0.031416533390322146
104,0.031059653822759183
105,0.030703731290478733
106,0.03034770677592971
107,0.029993111766871514
108,0.029638798219672684
109,0.029286246652490255
110,0.02893442320813225
111,0.02858404857471281
112,0.028235429299991753
113,0.02788802453002225
114,0.027542837883928292
115,0.027198399989470424
116,0.026856604691970022
117,0.026515870482421922
118,0.026177841455223314
119,0.025841358961905286
120,0.02550724742292089
121,0.025175519049758628
122,0.024845621869477346
123,0.02451857155746924
124,0.024193100522041572
125,0.023870695721579134
126,0.023549236962123132
127,0.023230896175972255
128,0.022914220251762846
129,0.022600391866166778
130,0.02228878826384255
131,0.02197938435209559
132,0.021672662584940185
133,0.02136753536432876
134,0.02106558228191172
135,0.020765332535927973
136,0.02046830756472266
137,0.02017283468362377
138,0.019880186327441672
139,0.019589410431552514
140,0.019300806426206595
141,0.019014495357117876
142,0.01872981237004378
143,0.018448022672500793
144,0.018167704425510384
145,0.01789023847705528
146,0.017614293632988574
147,0.017341015081125472
148,0.017069460879745323
149,0.016800127487058517
150,0.016532819547073727
151,0.016237701376341184
152,0.01594597400733586
153,0.015656706354285177
154,0.015370900946212561
155,0.015087500074078596
156,0.0148073504548691
157,0.014529661660382278
158,0.01425483068490709
159,0.01398275898134165
160,0.013713220733210933
161,0.013446539346051998
162,0.01318203323053635
163,0.012920238686822724
164,0.012660592369443852
165,0.012403694995814254
166,0.012148920362109863
167,0.011896575009993124
168,0.011646459466667071
169,0.011398515990751621
170,0.011152826406984439
171,0.010909085621363538
172,0.010667604985572307
173,0.010428103328442719
174,0.010190816342150777
175,0.00995529928661677
176,0.00972170707436689
177,0.009489889006598837
178,0.009260055273602416
179,0.009031895926307503
180,0.008805540010728335
181,0.008580795599654802
182,0.008357777233641237
183,0.008136310780379751
184,0.007916369735002475
185,0.007697974834743857
186,0.007480942122125705
187,0.0072655389619657755
188,0.0070513264555269696
189,0.006838762573602441
190,0.006627259495056671
191,0.0064172792732126215
192,0.006208328371285044
193,0.006000623160010329
194,0.005794007338289816
195,0.0055883672423418075
196,0.005383973267431475
197,0.005180262564981046
198,0.0049778955881123865
199,0.004775964543616986
200,0.004575312154626523
201,0.004372904981966622
202,0.004171789288947365
203,0.003971650775537689
204,0.003772504047511957
205,0.003574627119149246
206,0.0033774440611058737
207,0.0031817927937017204
208,0.0029867667624143427
209,0.0027935525646411905
210,0.0026012521845315386
211,0.002410818436546281
212,0.0022218910804982215
213,0.0020349912538034855
214,0.0018503658368698914
215,0.0016679733780265067
216,0.0014886338874881145
217,0.001312248343776399
218,0.0011400054557768645
219,0.0009724528039352797
220,0.0008086330205727721
221,0.0006534845351650762
222,0.0004996136687922191
223,0.00035395848218090737
224,0.00019191559113269587
225,2.3981432354073936e-07
